chr_uid,Char_Name,CASNumber
2062,Acanthamoeba comandoni***retired***use Acanthamoeba comandoni (Protozoa),NULL
2063,Acanthamoeba culbertsoni***retired***use Acanthamoeba culbertson (Protozoa),NULL
2064,Acanthamoeba griffini***retired***use Acanthamoeba griffini (Protozoa),NULL
2065,Acanthamoeba hatchetti***retired***use Acanthamoeba hatchetti (Protozoa),NULL
2066,Acanthamoeba hyalina***retired***use Acanthamoeba hyalina (Protozoa),NULL
2067,Acanthamoeba lenticulata***retired***use Acanthamoeba lenticulata (Protozoa),NULL
2068,Acanthamoeba palestinensis***retired***use Acanthamoeba palestinensis (Protozoa),NULL
2069,Acanthamoeba polyphaga***retired***use Acanthamoeba polyphaga (Protozoa),NULL
2070,Acanthamoeba rhysodes***retired***use Acanthamoeba rhysodes (Protozoa),NULL
2071,Acanthamoeba royreba***retired***use Acanthamoeba royreba (Protozoa),NULL
2072,Acanthamoeba terricola***retired***use Acanthamoeba terricola (Protozoa),NULL
2073,Acanthamoeba tubiashi***retired***use Acanthamoeba  tubiashi (Protozoa),NULL
2059,Acanthamoeba***retired***use Acanthamoeba (Protozoa),NULL
3829,Acebutolol,37517-30-9
101075,Acebutolol hydrochloride,34381-68-5
500,Acenaphthene,83-32-9
3837,Acenaphthene-d10,15067-26-2
501,Acenaphthylene,208-96-8
100317,Acenaphthylene-d8,93951-97-4
502,Acephate,30560-19-1
2405,Acequincyl,57960-19-7
4575,Acesulfame,33665-90-6
503,Acetaldehyde,75-07-0
504,Acetaldol,107-89-1
505,Acetamide,60-35-5
4166,"Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-",137-58-6
100687,"Acetamide, N-(aminothioxomethyl)-",591-08-2
2074,Acetaminophen,103-90-2
100318,Acetaminophen-13C2-15N,NULL
100491,Acetaminophen-d3,60902-28-5
3491,Acetamiprid,135410-20-7
506,Acetic acid,64-19-7
4540,"Acetic acid, 2-(4-nonylphenoxy)-",NP1EC
4576,"Acetic acid, 2-[2-(4-nonylphenoxy)ethoxy]-",NP2EC
4577,"Acetic acid, 2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]-",NP3EC
4578,"Acetic acid, 2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]-",NP4EC
2427,"Acetic acid, octadecyl ester",822-23-1
507,Acetochlor,34256-82-1
3978,Acetochlor ESA,187022-11-3
3979,Acetochlor OA,194992-44-4
101673,Acetochlor sulfinylacetic acid,NULL
101713,Acetochlor-d11,NULL
508,Acetone,67-64-1
509,Acetonitrile,75-05-8
510,Acetophenone,98-86-2
18,Acetovanillone,498-02-2
103164,Acetyl norfentanyl,NULL
102009,Acetyl norfentanyl (hydrochloride),22352-82-5
103300,Acetyl tributyl citrate,77-90-7
3017,Acetylene,74-86-2
3484,Acibenzolar-S-methyl,135158-54-2
2076,Acid - Base Potential,NULL
2077,Acid Generation Potential,NULL
2078,Acid Neutralization Potential Acidity (ANPA),NULL
2079,Acid Neutralization Potential As %CaCO3,NULL
512,Acid Volatile Sulfides,NULL
100459,Acidity,NULL
514,"Acidity, hydrogen ion (H+)",NULL
515,Acifluorfen,50594-66-6
516,"Acifluorfen, sodium salt",62476-59-9
2080,Acinetobacter,NULL
517,Acridine,260-94-6
518,Acrolein,107-02-8
519,Acrylamide,79-06-1
520,Acrylonitrile,107-13-1
521,Actinium-228,14331-83-0
100541,Actinolite Asbestos,77536-66-4
101913,Actinomycetes,NULL
3383,Active channel height,NULL
3382,Active channel width,NULL
101458,Activities - Algal Mats (choice list),NULL
101459,Activities - Angling Pressure (choice list),NULL
101460,Activities - Bridge/Culverts (choice list),NULL
101461,Activities - Channelization (choice list),NULL
101462,Activities - Chem. Treatment (choice list),NULL
101463,Activities - Commercial (choice list),NULL
101464,Activities - Construction (choice list),NULL
101465,Activities - Cropland (choice list),NULL
101466,Activities - Dams (choice list),NULL
101467,Activities - Dredging (choice list),NULL
101468,Activities - Dumping (choice list),NULL
101469,Activities - Evidence of Fire (choice list),NULL
103056,Activities - Feedlot (choice list),NULL
101470,Activities - Fish Stocking (choice list),NULL
101471,Activities - Hiking Trails (choice list),NULL
101472,Activities - Industrial Plants (choice list),NULL
101473,Activities - Irrigation Equipment (choice list),NULL
101474,Activities - Liming (choice list),NULL
101475,Activities - Livestock Use (choice list),NULL
101476,Activities - Logging (choice list),NULL
101477,Activities - Maintained Lawns (choice list),NULL
101478,Activities - Mines/Quarries (choice list),NULL
101479,Activities - Odors (choice list),NULL
101480,Activities - Oil/Gas Wells (choice list),NULL
101481,Activities - Orchards (choice list),NULL
101482,"Activities - Parks, Campgrounds (choice list)",NULL
101183,Activities - Pasture (choice list),NULL
101186,"Activities - Pipes, Drains (choice list)",NULL
101187,Activities - Poultry (choice list),NULL
101188,Activities - Power Plants (choice list),NULL
101189,"Activities - Primitive Parks, Camping (choice list)",NULL
101190,Activities - Residences (choice list),NULL
101191,Activities - Roads (choice list),NULL
101192,Activities - Sewage Treatment (choice list),NULL
101193,Activities - Surface Films (choice list),NULL
101194,Activities - Trash/Litter (choice list),NULL
101195,Activities - Water Level Fluctuations (choice list),NULL
101196,Activities - Water Withdrawal (choice list),NULL
2083,Actual Number of Individuals Measured,NULL
2084,Actual Number of Individuals Weighed,NULL
100492,Acyclovir,59277-89-3
522,Adenosine triphosphate,56-65-5
100456,Adjusted gross alpha activity,NULL
2085,Aeromonas hydrophila,NULL
523,Aflatoxins,1402-68-2
2086,Age,NULL
2087,"Age, Otoliths (Fish)",NULL
2088,"Age, Scales (Fish)",NULL
2089,"Age, Spines (Fish)",NULL
2090,"Age, Vertebra (Fish)",NULL
3055,Aggressive index,NULL
4048,AHTN,21145-77-7
524,Air entrained,NULL
525,Alachlor,15972-60-8
3980,Alachlor ESA,142363-53-9
3981,Alachlor OA,171262-17-2
101674,Alachlor oxanilic acid,NULL
101675,Alachlor sulfinylacetic acid,NULL
101714,Alachlor-d13,NULL
100567,Alanine aka L-alanine,56-41-7
100330,Albuterol-d3,1219798-60-3
100493,Albuterol-d9,1133418-26-4
101990,Aldehydes,NULL
526,Aldicarb,116-06-3
527,Aldicarb sulfone,1646-88-4
528,Aldicarb sulfoxide,1646-87-3
529,Aldrin,309-00-2
530,"Aldrin + dieldrin mix, unspecified",NULL
531,"Algae, all groups, density",NULL
532,"Algae, blue-green (phylum cyanophyta) density",NULL
101554,"Algae, blue-green (phylum cyanophyta) percent",NULL
533,"Algae, brown (phylum phaeophyta) density",NULL
534,"Algae, golden-brown (phylum chrysophyta) density",NULL
535,"Algae, green (phylum chlorophyta) density",NULL
536,"Algae, red (phylum rhodophyta) density",NULL
2092,"Algae, substrate rock/bank cover (choice list)",NULL
537,"Algae, yellow-green (phylum xanthophyta) density",NULL
3160,algal entity density,NULL
538,Algal growth potential,NULL
539,Aliphatics fraction,NULL
540,Alkaline phosphatase,9001-78-9
100331,"Alkalinity, bicarbonate",NULL
100455,"Alkalinity, carbonate",NULL
101942,"Alkalinity, Carbonate as CaCO3",NULL
100473,"Alkalinity, Hydroxide",NULL
2093,"Alkalinity, Phenolphthalein (total hydroxide+1/2 carbonate)",NULL
544,"Alkalinity, total",NULL
545,Alkane mix C10-C34,NULL
4658,"Alkanes, Petroleum",NULL
4659,"Alkanes, Plant Wax",NULL
546,"Alkanes, total",NULL
547,Allethrin,584-79-2
548,Allyl chloride,107-05-1
2094,Allyl isothiocyanate,57-06-7
4579,Allyl trenbolone,850-52-2
3907,Allyl-sec-butyl-barbituric acid,115-44-6
1752,Alpha particle,12587-46-1
101197,alpha-HCH (aLindane),NULL
100018,alpha-HCH-d6,NULL
3551,Alprazolam,28981-97-7
3853,Alprazolam-D5,125229-61-0
2095,Altitude,NULL
549,Aluminum,7429-90-5
550,Aluminum sulfate,10043-01-3
2096,"Aluminum, Organic + Inorganic Monomeric (reactive aluminum)",NULL
2097,"Aluminum, Organic Monomeric (reactive aluminum)",NULL
101198,Americium,7440-35-9
551,Americium-241,14596-10-2
552,Ametryn,834-12-8
2098,Amikacin,37517-28-5
100659,Aminoazobenzene,60-09-3
553,Aminocarb,2032-59-9
100332,Aminocyclopyrachlor,858956-08-8
103292,Aminoglutethimide,125-84-8
101795,Aminomethanesulfonic acid,13881-91-9
554,Aminomethylphosphonic acid,1066-51-9
4597,Aminopyralid,150114-71-9
2100,Amitriptyline,50-48-6
3830,Amitriptyline (+/-)-E-10-hydroxylated,64520-05-4
101078,Amitriptyline hydrochloride,549-18-8
100089,Amitriptyline-d6,203645-63-0
555,Amitrole,61-82-5
4558,Amlodipine,88150-42-9
556,Ammonia,7664-41-7
4684,Ammonia and ammonium,NULL
101940,Ammonia as NH3,NULL
557,Ammonia uptake,NULL
2942,Ammonia-nitrogen,NULL
2944,Ammonium,14798-03-9
2101,Ammonium bromide,12124-97-9
4685,Ammonium fluoride,12125-01-8
2102,Ammonium hydroxide,1336-21-6
101126,Ammonium ion (NH4+) protolyte,NULL
101991,Ammonium nitrate,6484-52-2
558,Ammonium perchlorate,7790-98-9
559,Ammonium picrate,131-74-8
2103,Ammonium sulfamate,7773-06-0
101992,Ammonium sulfate,7783-20-2
560,Amobam oxidation products,NULL
2104,Amoeba,NULL
2105,Amoebidae,NULL
3018,Amosite Asbestos,12172-73-5
3508,Amount of Refuse on Banks (choice list),NULL
101937,Amoxicillin,NULL
2106,Amoxicillin trihydrate,61336-70-7
100824,AMPA (glyphosate metabolite),1066-51-9
3552,Amphetamine,300-62-9
100506,Amphetamine-d6,73758-26-6
100522,Amphiboles,1318-09-8
2107,Ampicillin,69-53-4
100189,Amsacrine,51264-14-3
1370,Amylbenzene,538-68-1
2109,Anabasine,494-52-0
562,Anatoxin,NULL
100889,Anatoxin-A,64285-06-9
100190,Androstane,438-22-2
4034,Androstenedione-d7,67034-85-9
3594,Androsterone,53-41-8
4580,Anhydrochlortetracycline,4497-08-9
101768,Anhydroerthromycin,NULL
4581,Anhydrotetracycline,4496-85-9
563,Anilazine,101-05-3
564,Aniline,62-53-3
566,Anion deficit,NULL
565,Anion/cation ratio,NULL
2434,Anise oil,8007-70-3
567,Anisole,100-66-3
3809,Anthanthrene,NULL
100523,Anthophyllite asbestos,77536-67-5
568,Anthracene,120-12-7
100191,Anthracene-d10,1719-06-8
569,Anthraquinone,84-65-1
570,Antimony,7440-36-0
2110,Antimony potassium tartrate,28300-74-5
3191,Antimony-124,14683-10-4
571,Antimony-125,14234-35-6
2111,Antimycin A,1397-94-0
100507,Antipyrine,60-80-0
4002,Apatite inorganic phosphorus,NULL
103293,Apomorphine hydrochloride hydrate,41035-30-7
572,Apparent color,NULL
101199,Appealing (choice list),NULL
2112,Apramycin,37321-09-8
101123,Aquatic buffer area,NULL
101582,"Aquatic Plant Cover, substrate rock/bank cover (choice list)",NULL
964,"ar,ar'-Dimethylbiphenyl",28013-11-8
101200,Arachidoinic acid,506-32-1
100660,Aramite,140-57-8
101201,Area scanned,NULL
573,Argon,7440-37-1
4174,Aripiprazole,129722-12-9
574,Aroclor (unspecified),12767-79-2
575,Aroclor 1016,12674-11-2
1605,Aroclor 1016 mixt. with Aroclor 1221,NULL
1606,Aroclor 1016 mixt. with Aroclor 1242,NULL
576,Aroclor 1210,147601-87-4
577,Aroclor 1216,151820-27-8
578,Aroclor 1221,11104-28-2
579,Aroclor 1231,37234-40-5
580,Aroclor 1232,11141-16-5
581,Aroclor 1240,71328-89-7
582,Aroclor 1242,53469-21-9
1607,Aroclor 1242 mixt. with Aroclor 1248,NULL
1608,Aroclor 1242 mixt. with Aroclor 1248 and Aroclor 1254,NULL
1609,Aroclor 1242 mixt. with Aroclor 1248 and Aroclor 1260,NULL
1610,Aroclor 1242 mixt. with Aroclor 1254,NULL
1611,Aroclor 1242 mixt. with Aroclor 1254 and Aroclor 1260,NULL
1612,Aroclor 1242 mixt. with Aroclor 1260,NULL
583,Aroclor 1248,12672-29-6
1613,Aroclor 1248 mixt. with Aroclor 1254,NULL
1614,Aroclor 1248 mixt. with Aroclor 1254 and Aroclor 1260,NULL
1615,Aroclor 1248 mixt. with Aroclor 1260,NULL
584,Aroclor 1250,165245-51-2
585,Aroclor 1252,89577-78-6
586,Aroclor 1254,11097-69-1
1616,Aroclor 1254 mixt. with Aroclor 1260,NULL
587,Aroclor 1260,11096-82-5
588,Aroclor 1262,37324-23-5
100717,Aroclor 1264,NULL
589,Aroclor 1268,11100-14-4
1617,Aroclor 5442,12642-23-8
4647,Aroclor 5460,11126-42-4
590,Aromatics fraction,NULL
101637,Arsenate,NULL
591,Arsenic,7440-38-2
101995,Arsenic (III),22541-54-4
101996,Arsenic (V),17428-41-0
101202,Arsenic acid,7778-39-4
592,Arsenic ion (3+),22541-54-4
593,Arsenic ion (5+),17428-41-0
594,Arsenic pentafluoride,7784-36-3
4077,Arsenic(III) trioxide,1327-53-3
4613,Arsenic(V) oxide hydrate,12044-50-7
595,Arsenic(V) pentoxide,1303-28-2
100977,"Arsenic, dimethyl",NULL
4618,"Arsenic, Inorganic",NULL
100978,"Arsenic, monomethyl",NULL
3173,Arsenide,NULL
101638,Arsenite,NULL
101203,Arsine,7784-42-1
4240,"Artifical substrate, redundacy index",NULL
100234,ASB + Cation,NULL
596,Asbestos,1332-21-4
4013,Ash Free Dry Mass,NULL
3666,ashes,68131-74-8
3387,Aspect,NULL
101676,Asulam,NULL
3846,Atenolol,29122-68-7
3861,Atenolol-D7,1202864-50-3
597,"Atmospheric deposition, dry fall",NULL
598,"Atmospheric deposition, wet fall",NULL
101993,Atmospheric stability,NULL
100235,Atorvastatin,134523-00-5
100803,Atorvastatin calcium,134523-03-8
599,Atraton,1610-17-9
600,Atrazine,1912-24-9
3831,Atrazine-d5 (ethyl-d5),163165-75-1
100787,Atterberg Classification,NULL
101204,Atterberg Limits,NULL
100236,Azathioprine,446-86-6
100237,Azathioprine-13C4,1346600-71-2
1407,Azide,14343-69-2
601,Azinphos-ethyl,2642-71-9
602,Azinphos-methyl,86-50-0
100238,Azinphos-methyl oxygen analog,NULL
101205,Aziridine,151-56-4
2115,Azithromycin,83905-01-5
603,Azobenzene,103-33-3
103243,Azorubinol,6360-07-2
100462,Azothoate,5834-96-8
3019,Azoxystrobin,131860-33-8
2984,Azulene,275-51-4
3148,b-D-galactosidase (corrected for carbon content),NULL
3149,b-D-glucosidase (corrected for carbon content),NULL
3156,b-D-xylosidase (corrected for carbon content),NULL
3153,b-N-acetylglucosaminidase (corrected for carbon content),NULL
2116,Bacillus thuringiensis (Berliner),68038-71-1
2117,Bacillus thuringiensis aizawai,NULL
2118,Bacillus thuringiensis aizawai GC-91,NULL
2119,Bacillus thuringiensis israelensis,NULL
2120,Bacillus thuringiensis kurstaki,NULL
2121,Bacillus thuringiensis kurstaki BMP123,NULL
2123,Bacillus thuringiensis kurstaki EG2371,NULL
2124,Bacillus thuringiensis kurstaki EG2424,NULL
2125,"Bacillus thuringiensis kurstaki HD1, D-endotoxin, cry1A(b)",NULL
2127,Bacillus thuringiensis NB357M,NULL
2128,Bacillus thuringiensis tenebrionis,NULL
2129,Bacitracin,1405-87-4
103050,Back Water (Y/N) (choice list),NULL
604,"Bacteria mix, unspecified",NULL
605,"Bacteria, denitrifiers",NULL
100457,"Bacteria, iron oxidizing",NULL
100239,"Bacteria, iron reducing",NULL
607,"Bacteria, iron+sulfur fixers",NULL
608,"Bacteria, nitrifiers",NULL
100240,"Bacteria, slime-forming",NULL
3501,"Bacteria,Sulfate reducing",NULL
3392,Bank class (choice list),NULL
3393,"Bank class, Left (choice list)",NULL
3394,"Bank class, Right (choice list)",NULL
2130,Bank erosion stability (choice list),NULL
4645,"Bank Erosion, Left",NULL
4646,"Bank Erosion, Right",NULL
4639,"Bank Slope, Left",NULL
4640,"Bank Slope, Right",NULL
101206,Bank Stability LDB,NULL
101207,Bank Stability RDB,NULL
3396,"Bank Stability, Left (choice list)",NULL
3395,"Bank Stability, Right (choice list)",NULL
2131,Bank vegetative stability (choice list),NULL
101208,Bankful Angle (choice list),NULL
103051,Bankfull Height,NULL
103052,Bar Present (Y/N) (choice list),NULL
103053,Bar Width,NULL
609,Barban,101-27-9
610,Barite,13462-86-7
611,Barium,7440-39-3
3184,Barium-133,13981-41-4
612,Barium-140,14798-08-4
613,Barium-lanthanum,NULL
2132,Barometric pressure,NULL
614,Bases,NULL
101209,Battery voltage,NULL
100740,BDE 100L,NULL
100741,BDE 101L,NULL
100742,BDE 118L,NULL
100743,BDE 126L,NULL
100744,BDE 153L,NULL
100745,BDE 154L,NULL
100746,BDE 15L,NULL
100747,BDE 180L,NULL
100748,BDE 183L,NULL
100749,BDE 202L,NULL
100750,BDE 206L,NULL
100751,BDE 209L,NULL
100752,BDE 28L,NULL
100753,BDE 3L,NULL
100754,BDE 47L,NULL
100755,BDE 77L,NULL
100756,BDE 8L,NULL
100757,BDE 99L,NULL
4256,BDE-003,101-55-3
4257,BDE-004,51452-87-0
4258,BDE-005,446254-14-4
4259,BDE-006,147217-72-9
103234,BDE-007,171977-44-9
103235,BDE-008,147217-71-8
4262,BDE-009,337513-66-3
4266,BDE-014,46438-88-4
103236,BDE-015,2050-47-7
4268,BDE-016,147217-74-1
103008,BDE-017,147217-75-2
4270,BDE-018,407606-55-7
4271,BDE-019,147217-73-0
4272,BDE-020,147217-76-3
4273,BDE-021,337513-67-4
4274,BDE-022,446254-15-5
4275,BDE-023,446254-16-6
4276,BDE-024,218304-36-0
4278,BDE-026,337513-75-4
4279,BDE-027,337513-53-8
103237,BDE-028,41318-75-6
4281,BDE-029,337513-56-1
4283,BDE-031,65075-08-3
4285,BDE-033,147217-78-5
4286,BDE-034,446254-17-7
4288,BDE-036,147217-79-6
4290,BDE-038,337513-54-9
4291,BDE-039,407606-57-9
4293,BDE-041,337513-68-5
4294,BDE-042,446254-18-8
4295,BDE-043,446254-19-9
4296,BDE-044,446254-20-2
4297,BDE-045,446254-21-3
4298,BDE-046,446254-22-4
103238,BDE-047,5436-43-1
4300,BDE-048,337513-55-0
4302,BDE-050,446254-23-5
4303,BDE-052,446254-24-6
4304,BDE-053,446254-25-7
4305,BDE-054,446254-26-8
4306,BDE-055,446254-27-9
4307,BDE-056,446254-28-0
4308,BDE-057,337513-82-3
4309,BDE-058,446254-29-1
4310,BDE-059,446254-30-4
4311,BDE-060,446254-31-5
4312,BDE-061,446254-32-6
4313,BDE-062,446254-33-7
4314,BDE-063,446254-34-8
4315,BDE-064,446254-35-9
4316,BDE-065,446254-36-0
4317,BDE-066,189084-61-5
4318,BDE-067,446254-37-1
4319,BDE-068,446254-38-2
4320,BDE-069,327185-09-1
4321,BDE-070,446254-39-3
4323,BDE-072,446254-40-6
4324,BDE-073,446254-41-7
4325,BDE-074,446254-42-8
101210,BDE-075,189084-63-7
4327,BDE-076,446254-43-9
4329,BDE-078,446254-45-1
103239,BDE-079,446254-48-4
4331,BDE-080,103173-66-6
4332,BDE-081,446254-50-8
4334,BDE-083,446254-51-9
4335,BDE-084,446254-52-0
4336,BDE-085,182346-21-0
4337,BDE-086,446254-53-1
4338,BDE-087,446254-54-2
4339,BDE-088,446254-55-3
4340,BDE-089,446254-56-4
4341,BDE-090,446254-57-5
4342,BDE-091,446254-58-6
4343,BDE-092,446254-59-7
4344,BDE-093,446254-60-0
4345,BDE-094,446254-61-1
4346,BDE-095,446254-62-2
4347,BDE-096,446254-63-3
4348,BDE-097,446254-64-4
4349,BDE-098,38463-82-0
103233,BDE-099,60348-60-9
103240,BDE-100,189084-64-8
4352,BDE-101,446254-65-5
4353,BDE-102,446254-66-6
4354,BDE-103,446254-67-7
4355,BDE-104,446254-68-8
4357,BDE-106,446254-69-9
4358,BDE-107,446254-70-2
4359,BDE-108,446254-71-3
4360,BDE-109,446254-72-4
4361,BDE-110,446254-73-5
4362,BDE-111,446254-74-6
4363,BDE-112,446254-75-7
4364,BDE-113,446254-76-8
4365,BDE-114,446254-77-9
4366,BDE-115,446254-78-0
4368,BDE-117,446254-79-1
4370,BDE-119,189084-66-0
3273,BDE-119/120,NULL
3274,BDE-12/13,NULL
4372,BDE-121,446254-81-5
4373,BDE-122,446254-82-6
4374,BDE-123,446254-83-7
4375,BDE-124,446254-84-8
4376,BDE-125,446254-85-9
4378,BDE-127,446254-86-0
4380,BDE-129,446254-87-1
4381,BDE-130,446254-88-2
4382,BDE-131,446254-89-3
4383,BDE-132,446254-90-6
4384,BDE-133,446254-91-7
4385,BDE-134,446254-92-8
4386,BDE-135,446254-93-9
4387,BDE-136,446254-94-0
4388,BDE-137,446254-95-1
103241,BDE-138,182677-30-1
3781,BDE-138/166,NULL
4390,BDE-139,446254-96-2
103242,BDE-140,243982-83-4
4392,BDE-141,446254-97-3
4393,BDE-142,446254-98-4
4394,BDE-143,446254-99-5
4395,BDE-144,446255-00-1
4396,BDE-145,446255-01-2
4397,BDE-146,446255-02-3
4398,BDE-147,116995-33-6
4399,BDE-148,446255-03-4
4400,BDE-149,446255-04-5
4401,BDE-150,446255-05-6
4402,BDE-151,446255-06-7
4403,BDE-152,446255-07-8
100357,BDE-153,68631-49-2
101400,BDE-154,207122-15-4
4406,BDE-155,35854-94-5
4407,BDE-156,405237-85-6
4408,BDE-157,446255-08-9
4409,BDE-158,446255-09-0
4410,BDE-159,446255-10-3
4411,BDE-160,446255-11-4
4412,BDE-161,446255-12-5
4413,BDE-162,446255-13-6
4414,BDE-163,446255-14-7
4415,BDE-164,446255-15-8
4416,BDE-165,446255-16-9
4417,BDE-166,189084-58-0
4418,BDE-167,446255-17-0
4419,BDE-168,53551-87-4
4420,BDE-169,446255-18-1
3782,BDE-17/25,NULL
4421,BDE-170,327185-13-7
4422,BDE-171,446255-19-2
4423,BDE-172,407606-59-1
4424,BDE-173,446255-20-5
4425,BDE-174,446255-21-6
4426,BDE-175,446255-22-7
4427,BDE-176,407606-61-5
4428,BDE-177,446255-23-8
4429,BDE-178,446255-24-9
4430,BDE-179,446255-25-0
4431,BDE-180,446255-26-1
4432,BDE-182,442690-45-1
4433,BDE-184,189084-68-2
4434,BDE-185,405237-86-7
4435,BDE-186,446255-27-2
4436,BDE-187,446255-28-3
4437,BDE-188,116995-32-5
4438,BDE-189,259087-35-9
103009,BDE-190,189084-68-2
4440,BDE-191,446255-30-7
4441,BDE-192,407578-53-4
4442,BDE-193,446255-34-1
4443,BDE-194,85446-17-9
4444,BDE-195,446255-38-5
4445,BDE-196,446255-39-6
4446,BDE-197,117964-21-3
4447,BDE-198,446255-42-1
4448,BDE-199,446255-43-2
4449,BDE-200,446255-46-5
4687,BDE-200/203,NULL
4450,BDE-201,446255-50-1
4451,BDE-202,67797-09-5
103007,BDE-203/208,NULL
4453,BDE-204,446255-54-5
101211,BDE-205,446255-56-7
100358,BDE-207,437701-79-6
3277,BDE-208,437701-78-5
101212,BDE-209,1163-19-5
3275,BDE-28/33,NULL
3276,BDE-8/11,NULL
4688,BDE-85/155,NULL
101043,Beam Attenuation (Seabird),NULL
101213,Beaver (choice list),NULL
101222,Beaver Flow Modification (choice list),NULL
2832,Beck Biotic Index,NULL
3020,Bendiocarb,22781-23-3
615,Bendiocarb phenol,22961-82-6
616,Benfluralin,1861-40-1
103244,Benfuracarb,82560-54-1
617,Benomyl,17804-35-2
3595,Bensulfuron-methyl,83055-99-6
618,Bensulide,741-58-2
619,Bentazon,25057-89-0
100815,Bentazon methyl,61592-45-8
103216,Bentazon-d7,131842-77-8
103245,Bentazone,25057-89-0
620,Bentonite,1302-78-9
621,Benz[a]anthracene,56-55-3
100251,Benz[j+e]aceanthrylene,NULL
622,Benzal chloride,98-87-3
623,Benzaldehyde,100-52-7
3199,"Benzaldehyde, 2,3-dichloro-4-hydroxy-5-methoxy-",18268-69-4
3200,"Benzaldehyde, 2-chloro-4-hydroxy-5-methoxy-",18268-76-3
3652,"Benzaldehyde, 3-methyl-",620-23-5
100359,"Benzamide, 2-amino-N-(1-methylethyl)-",NULL
3929,"Benzamide, 5-chloro-N-[2-[4-[[[(cyclohexylamino)carbonyl]amino]sulfonyl]phenyl]ethyl]-2-methoxy-**retired**use Glyburide",10238-21-8
624,Benzene,71-43-2
100463,"Benzene Hexachloride, Alpha (BHC)",NULL
100464,"Benzene Hexachloride, Beta (BHC)",NULL
100465,"Benzene Hexachloride, Delta (BHC)",NULL
625,"Benzene, (1-ethyldecyl)-",2400-00-2
100192,"Benzene, 1,1'-(1,2-ethanediyl)bis[2,3,4,5,6-pentabromo-",84852-53-9
100193,"Benzene, 1,1'-[1,2-ethanediylbis(oxy)]bis[2,4,6-tribromo-",37853-59-1
3234,"Benzene, 1,1'-oxybis[2,4,5-tribromo-***retired***use BDE-153",68631-49-2
3239,"Benzene, 1,1'-oxybis[2,4-dibromo-***retired***use 2,2',4,4'-Tetrabromodiphenyl ether",5436-43-1
3755,"Benzene, 1,1-oxybis[3,4-dibromo-",NULL
3735,"Benzene, 1,2,3,4,5,6-hexabromo- ***retired**use Hexabromobenzene",87-82-1
3776,"Benzene, 1,2,3,4,5-pentabromo-6-(2,3,4,5-tetrabromophenoxy)-***retired***use Nonabromophenoxybenzene",63387-28-0
3777,"Benzene, 1,2,3,4,5-pentabromo-6-(2,3,4,6-tetrabromophenoxy)-***retired***use BDE-207",437701-79-6
3778,"Benzene, 1,2,3,4,5-pentabromo-6-(2,3,5,6-tetrabromophenoxy)-",437701-78-5
3775,"Benzene, 1,2,3,4,5-pentabromo-6-(2,4,5-tribromophenoxy)-***retired***use 2,2',3,4,4',5,5',6-OCBDE",337513-72-1
3768,"Benzene, 1,2,3,4,5-pentabromo-6-(2,4-dibromophenoxy)-***retired***use 2,2',3,4,4',5,6-Heptabromodiphenyl ether",189084-67-1
3771,"Benzene, 1,2,3,4,5-pentabromo-6-(3,4-dibromophenoxy)-",NULL
3736,"Benzene, 1,2,3,4,5-pentabromo-6-ethyl-",85-22-3
3773,"Benzene, 1,2,3,5-tetrabromo-4-(2,3,4,5-tetrabromophenoxy)-",446255-50-1
3774,"Benzene, 1,2,3,5-tetrabromo-4-(2,3,4,6-tetrabromophenoxy)-",446255-39-6
3769,"Benzene, 1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)-***retired***use 2,2',3,4,4',5',6-Heptabromodiphenyl ether",207122-16-5
3772,"Benzene, 1,2,3,5-tetrabromo-4-(3,4,5-tribromophenoxy)-",446255-30-7
3779,"Benzene, 1,2,3,5-tetrabromo-6-(2,4,6-tribromophenoxy)-***retired***use BDE-190",NULL
3765,"Benzene, 1,2,3-tribromo-4-(2,3,4-tribromophenoxy)-",182677-28-7
3231,"Benzene, 1,2,3-tribromo-4-(2,4,5-tribromophenoxy)-***retired***use 2,2',3,4,4',5'-Hexabromodiphenyl ether",182677-30-1
3232,"Benzene, 1,2,3-tribromo-4-(2,4,6-tribromophenoxy)-***retired***use 2,2',3,4,4',6'-Hexabromodiphenyl ether",243982-83-4
3233,"Benzene, 1,2,3-tribromo-4-(2,4-dibromophenoxy)-***retired***use BDE-085",182346-21-0
3758,"Benzene, 1,2,3-tribromo-4-(3,4-dibromophenoxy)-***retired***use 2,3,3',4,4'-PEBDE",373594-78-6
3764,"Benzene, 1,2,3-tribromo-5-(3,4-dibromophenoxy)-",366791-32-4
3796,"Benzene, 1,2,4,5-tetrachloro- and/or 1,2,3,5-Tetrachlorobenzene",NULL
3360,"Benzene, 1,2,4-tribromo-5-(2,4-dibromophenoxy)-***retired***use BDE-099",60348-60-9
3761,"Benzene, 1,2,4-tribromo-5-(3,4-dibromophenoxy)-",446254-80-4
3763,"Benzene, 1,2,4-tribromo-5-(3,5-dibromophenoxy)-",417727-71-0
3249,"Benzene, 1,2-dibromo-4-(2,4-dibromophenoxy)-***retired***use BDE-066",189084-61-5
